Stt	Tiêu chí (100 điểm)
1	Khởi tạo Solution đúng cấu trúc 3 phân tầng (CMS.Data, CMS.Backend, cms.frontend) hiển thị trên GitHub.
2	Lịch sử Git có tối thiểu 5 lần Commit tương ứng với tiến độ các buổi học thực hành.
3	"File README.md trên GitHub có hướng dẫn đầy đủ cách chạy Backend (F5) và FrontEnd (npm start).
Loại bỏ thư mục rác node_modules/, bin/, obj/ ra khỏi Git thông qua file .gitignore chuẩn."
4	File văn bản báo cáo (.docx) trình bày đúng định dạng chuẩn, có bìa, mục lục và thông tin sinh viên.
5	File văn bản báo cáo có đầy đủ 6 chương như hướng dẫn
6	Báo cáo có sơ đồ thiết kế hệ thống hoặc sơ đồ mối quan hệ giữa các bảng (ERD).
7	Báo cáo mô tả chi tiết danh sách tất cả các màn hình chức năng của website FrontEnd ReactJS.
8	Báo cáo liệt kê đầy đủ danh mục các tài liệu Web API sử dụng kèm cấu trúc JSON mẫu.
9	Báo cáo có chụp ảnh minh chứng giao diện Swagger API và kết quả kiểm thử trên Postman.
10	Khai báo đầy đủ 8 class với các trường cấu trúc của 8 thực thể 
11	"Cấu hình thành công ApplicationDbContext và chạy lệnh Migration để sinh ra đủ 8 bảng dữ liệu thật trong SQL Server.
File appsettings.json cấu hình chuỗi kết nối (Connection String) chuẩn hóa, kết nối thông suốt với máy chủ cơ sở dữ liệu."
12	Tạo đầy đủ các trang quản tri với CRUD hợp lý với Category, Post, User 
13	Tạo đầy đủ các trang quản tri với CRUD hợp lý với CategoryProduct, Product, Customer, Order --> OrderDetail 
14	Có chức năng phân trang đối với danh sách liệt kê quá nhiều ProductGrid, PostGrid
15	Tích hợp thành công trình soạn thảo giàu tính năng (Rich Text Editor như CKEditor) vào ô nhập liệu nội dung chi tiết bài viết.
16	Ứng dụng thành công thuộc tính bảo mật [Authorize] để khóa chặn những người chưa đăng nhập không được vào xem dữ liệu Admin.
17	Phân quyền cấp cao [Authorize(Roles = "Admin")] cho file UserController.cs để chỉ tài khoản Admin mới được quản lý thành viên.
18	"Hoàn thiện giao diện Layout chung (_LayoutAdmin.cshtml) chứa thanh điều hướng Sidebar thông minh điều phối các thực thể.
Trang Admin hiển thị động tên người dùng đang đăng nhập (FullName) và vai trò (Role) lên thanh điều hướng."
19	"Xây dựng hoàn chỉnh trang đăng nhập Login.cshtml hoạt động độc lập, không bị lỗi crash code khi người dùng nhập sai thông tin.
Viết hàm hành động Logout giải phóng hoàn toàn Session/Cookie và điều hướng an toàn người dùng về trang Login."
20	Viết đủ Web API GET phục vụ cho Frontend
21	Viết đủ Web API POST phục vụ cho Frontend
22	Cấu hình chính sách bảo mật CORS (AllowReactApp) mở cổng Port chính xác cho ứng dụng ReactJS nạp dữ liệu.
23	File Program.cs thiết lập thành công cấu trúc Middleware lai: vừa ánh xạ API (MapControllers) vừa giữ định tuyến Web MVC cũ.
24	Trang chủ FrontEnd có giao diện hợp lý được chia thành 5 hay 6 Component trình bày: Header, HeroBanner, CategoryMenu, ProductGrid…. 
